data;kategoria;opis;kwota;sposob_platnosci;miasto
24.12.2024;zdrowie;apteka;563,48;BLIK;Kraków
23.10.2024;rozrywka;zakupy;821,52;karta;Gdańsk
13.07.2024;inne;zakupy;277,78;gotówka;Poznań
29.08.2024;transport;zakupy;59,86;BLIK;Gdańsk
30.07.2024;zdrowie;paliwo;283,18;BLIK;Kraków
25.02.2024;zdrowie;kawa;522,19;BLIK;Poznań
04.09.2024;ubrania;kawa;839,17;BLIK;Gdańsk
11.06.2024;rozrywka;apteka;365,86;BLIK;Poznań
07.03.2024;zdrowie;apteka;304,01;gotówka;Poznań
11.09.2024;rachunki;obiad;621,16;karta;Poznań
28.05.2024;transport;zakupy;201,65;karta;Warszawa
01.03.2024;ubrania;obiad;397,83;karta;Poznań
30.07.2024;jedzenie;kino;849,14;gotówka;Poznań
18.04.2024;jedzenie;kawa;686,11;karta;Gdańsk
04.02.2024;rozrywka;kino;219,98;BLIK;Poznań
04.01.2024;jedzenie;kawa;278,72;gotówka;Gdańsk
18.10.2024;zdrowie;zakupy;339,66;karta;Kraków
22.06.2024;ubrania;prąd;284,29;gotówka;Warszawa
03.09.2024;transport;kawa;550,58;gotówka;Poznań
24.08.2024;inne;obiad;762,06;gotówka;Warszawa
02.06.2024;zdrowie;kawa;710,66;BLIK;Gdańsk
10.01.2024;transport;apteka;474,12;BLIK;Gdańsk
30.06.2024;jedzenie;paliwo;680,61;gotówka;Warszawa
11.07.2024;ubrania;apteka;291,58;karta;Poznań
05.04.2024;zdrowie;zakupy;516,81;gotówka;Gdańsk
19.05.2024;rachunki;zakupy;604,81;gotówka;Kraków
03.06.2024;transport;apteka;318,99;gotówka;Kraków
20.01.2024;inne;paliwo;99,84;karta;Łódź
04.09.2024;zdrowie;paliwo;432,57;karta;Gdańsk
25.09.2024;rozrywka;obiad;785,47;gotówka;Kraków
20.02.2024;inne;apteka;655,21;BLIK;Kraków
19.01.2024;rachunki;prąd;178,38;BLIK;Poznań
08.06.2024;jedzenie;kawa;102,88;BLIK;Warszawa
24.01.2024;jedzenie;apteka;286,63;BLIK;Gdańsk
08.06.2024;ubrania;paliwo;24,00;gotówka;Kraków
21.05.2024;zdrowie;kino;167,70;gotówka;Warszawa
21.03.2024;rozrywka;zakupy;235,39;karta;Poznań
22.02.2024;transport;apteka;477,88;gotówka;Poznań
13.03.2024;ubrania;obiad;274,12;gotówka;Poznań
06.02.2024;rozrywka;apteka;211,88;gotówka;Poznań
07.03.2024;jedzenie;prąd;379,88;BLIK;Warszawa
28.01.2024;jedzenie;prąd;94,51;gotówka;Kraków
30.10.2024;ubrania;obiad;600,45;BLIK;Łódź
08.06.2024;rozrywka;obiad;525,79;karta;Poznań
26.08.2024;zdrowie;paliwo;71,37;karta;Łódź
07.06.2024;ubrania;kawa;87,19;BLIK;Łódź
24.04.2024;transport;obiad;402,61;BLIK;Gdańsk
19.07.2024;transport;kawa;776,37;BLIK;Gdańsk
15.06.2024;rachunki;prąd;671,52;karta;Warszawa
28.06.2024;rachunki;prąd;406,66;karta;Gdańsk
05.11.2024;zdrowie;paliwo;653,91;BLIK;Warszawa
31.12.2024;inne;zakupy;347,80;gotówka;Poznań
03.06.2024;zdrowie;prąd;553,79;gotówka;Poznań
13.11.2024;transport;apteka;354,36;karta;Łódź
23.06.2024;transport;obiad;329,32;BLIK;Poznań
10.08.2024;zdrowie;obiad;369,32;gotówka;Poznań
29.03.2024;ubrania;kawa;591,54;karta;Poznań
28.02.2024;zdrowie;apteka;712,05;gotówka;Gdańsk
15.08.2024;transport;kino;474,05;gotówka;Warszawa
16.12.2024;inne;apteka;510,53;gotówka;Gdańsk
04.12.2024;jedzenie;zakupy;422,68;karta;Kraków
21.11.2024;inne;zakupy;754,74;karta;Kraków
29.05.2024;rachunki;apteka;387,76;BLIK;Łódź
14.12.2024;rozrywka;kino;170,34;BLIK;Gdańsk
10.08.2024;ubrania;kino;781,13;karta;Poznań
18.09.2024;rachunki;obiad;11,86;karta;Gdańsk
08.10.2024;jedzenie;zakupy;57,74;BLIK;Poznań
02.07.2024;jedzenie;obiad;698,54;gotówka;Warszawa
25.12.2024;zdrowie;prąd;203,78;BLIK;Gdańsk
26.07.2024;rachunki;prąd;606,45;BLIK;Kraków
31.08.2024;transport;paliwo;564,80;BLIK;Łódź
03.07.2024;inne;prąd;717,61;karta;Gdańsk
09.12.2024;transport;paliwo;847,85;karta;Warszawa
14.03.2024;ubrania;prąd;552,89;BLIK;Łódź
10.03.2024;jedzenie;paliwo;828,85;BLIK;Łódź
22.12.2024;zdrowie;prąd;731,83;BLIK;Kraków
05.08.2024;zdrowie;obiad;388,96;gotówka;Łódź
05.04.2024;rachunki;apteka;305,23;karta;Poznań
01.05.2024;ubrania;apteka;425,94;gotówka;Łódź
22.10.2024;rozrywka;zakupy;787,95;karta;Poznań
07.07.2024;jedzenie;apteka;413,36;gotówka;Warszawa
26.09.2024;inne;obiad;125,06;gotówka;Łódź
24.09.2024;zdrowie;zakupy;441,82;karta;Łódź
05.12.2024;ubrania;zakupy;537,91;BLIK;Poznań
08.06.2024;zdrowie;zakupy;679,39;gotówka;Poznań
28.08.2024;rachunki;apteka;662,86;gotówka;Poznań
03.08.2024;rozrywka;obiad;625,07;gotówka;Gdańsk
21.12.2024;zdrowie;kawa;146,54;gotówka;Poznań
18.11.2024;rachunki;apteka;225,07;karta;Poznań
29.05.2024;inne;kawa;48,62;BLIK;Warszawa
12.02.2024;transport;apteka;247,36;karta;Gdańsk
11.11.2024;rozrywka;kino;217,98;gotówka;Warszawa
05.11.2024;transport;apteka;631,51;BLIK;Kraków
08.07.2024;inne;paliwo;561,99;gotówka;Kraków
27.09.2024;inne;zakupy;414,76;gotówka;Warszawa
31.10.2024;inne;paliwo;822,41;gotówka;Łódź
01.05.2024;ubrania;prąd;655,96;BLIK;Kraków
25.06.2024;jedzenie;kawa;183,17;gotówka;Warszawa
25.08.2024;rachunki;prąd;49,38;gotówka;Łódź
29.09.2024;transport;prąd;635,50;BLIK;Łódź
15.03.2024;zdrowie;obiad;406,03;gotówka;Warszawa
17.08.2024;rachunki;kawa;249,03;gotówka;Poznań
22.01.2024;jedzenie;apteka;582,03;BLIK;Gdańsk
09.08.2024;zdrowie;kawa;812,98;gotówka;Gdańsk
20.02.2024;rozrywka;kawa;233,43;BLIK;Łódź
11.12.2024;ubrania;paliwo;394,64;BLIK;Poznań
23.09.2024;rozrywka;kawa;656,07;BLIK;Kraków
06.01.2024;ubrania;zakupy;269,71;karta;Warszawa
25.09.2024;jedzenie;kawa;352,51;gotówka;Gdańsk
25.05.2024;rozrywka;paliwo;190,41;karta;Warszawa
30.01.2024;zdrowie;kawa;528,39;karta;Poznań
28.12.2024;jedzenie;zakupy;544,18;BLIK;Kraków
27.11.2024;zdrowie;obiad;322,68;karta;Warszawa
09.05.2024;rozrywka;prąd;592,83;BLIK;Warszawa
21.05.2024;inne;prąd;544,77;BLIK;Gdańsk
07.02.2024;rozrywka;obiad;222,45;karta;Łódź
31.01.2024;rozrywka;obiad;333,36;gotówka;Kraków
08.09.2024;transport;apteka;377,29;gotówka;Kraków
25.02.2024;transport;apteka;550,43;gotówka;Kraków
24.02.2024;rachunki;kawa;523,80;gotówka;Warszawa
06.02.2024;zdrowie;kawa;34,46;gotówka;Łódź
11.09.2024;transport;kawa;20,86;BLIK;Warszawa
06.12.2024;rachunki;kino;793,30;karta;Gdańsk
21.10.2024;jedzenie;apteka;769,40;BLIK;Łódź
25.07.2024;inne;kawa;409,03;karta;Poznań
15.07.2024;ubrania;obiad;195,84;gotówka;Warszawa
02.07.2024;rozrywka;kawa;484,32;gotówka;Łódź
27.11.2024;jedzenie;kino;51,64;BLIK;Gdańsk
23.08.2024;inne;obiad;72,99;gotówka;Kraków
21.01.2024;rachunki;kawa;154,24;karta;Gdańsk
24.02.2024;ubrania;kawa;593,02;gotówka;Łódź
19.11.2024;rachunki;kawa;76,71;karta;Kraków
13.01.2024;ubrania;apteka;35,17;karta;Łódź
03.10.2024;ubrania;kino;333,51;gotówka;Poznań
18.08.2024;jedzenie;zakupy;820,39;gotówka;Warszawa
22.01.2024;rachunki;zakupy;290,37;karta;Poznań
13.12.2024;inne;obiad;392,32;BLIK;Kraków
29.04.2024;jedzenie;zakupy;631,19;BLIK;Kraków
10.01.2024;rachunki;apteka;418,12;karta;Kraków
07.03.2024;jedzenie;paliwo;597,60;BLIK;Warszawa
19.02.2024;rachunki;apteka;769,44;karta;Poznań
24.02.2024;jedzenie;prąd;59,04;BLIK;Poznań
13.04.2024;rachunki;kino;191,38;BLIK;Łódź
16.12.2024;zdrowie;apteka;278,98;karta;Gdańsk
19.04.2024;inne;zakupy;711,78;BLIK;Kraków
02.03.2024;rozrywka;paliwo;288,50;gotówka;Kraków
10.10.2024;transport;prąd;593,37;karta;Poznań
21.02.2024;inne;obiad;39,39;BLIK;Poznań
21.03.2024;jedzenie;prąd;322,83;karta;Warszawa
15.02.2024;ubrania;kawa;11,10;BLIK;Gdańsk
31.08.2024;ubrania;paliwo;356,71;karta;Kraków
24.09.2024;rachunki;prąd;545,65;karta;Kraków
20.01.2024;zdrowie;paliwo;520,90;BLIK;Łódź
15.02.2024;ubrania;obiad;522,18;gotówka;Gdańsk
12.10.2024;transport;paliwo;358,87;karta;Poznań
12.11.2024;rozrywka;obiad;830,39;BLIK;Poznań
16.11.2024;ubrania;paliwo;190,29;gotówka;Warszawa
17.03.2024;ubrania;obiad;168,69;gotówka;Łódź
09.12.2024;jedzenie;zakupy;153,99;BLIK;Gdańsk
10.08.2024;rozrywka;kino;245,88;BLIK;Łódź
27.01.2024;zdrowie;paliwo;41,60;karta;Warszawa
29.02.2024;jedzenie;paliwo;414,88;BLIK;Łódź
15.06.2024;rachunki;paliwo;505,84;BLIK;Gdańsk
26.02.2024;rozrywka;paliwo;199,40;karta;Kraków
12.04.2024;rachunki;paliwo;628,40;karta;Łódź
28.01.2024;rachunki;paliwo;499,40;karta;Poznań
17.07.2024;rozrywka;paliwo;389,47;gotówka;Kraków
18.05.2024;transport;kino;539,06;karta;Warszawa
31.01.2024;rozrywka;paliwo;589,92;karta;Łódź
28.03.2024;inne;kino;392,50;karta;Gdańsk
22.11.2024;zdrowie;paliwo;515,07;BLIK;Poznań
14.02.2024;rachunki;obiad;727,48;BLIK;Łódź
20.04.2024;zdrowie;prąd;733,56;gotówka;Gdańsk
07.08.2024;ubrania;obiad;17,26;karta;Kraków
23.10.2024;transport;apteka;281,57;karta;Poznań
01.08.2024;jedzenie;zakupy;764,02;gotówka;Poznań
28.09.2024;rachunki;prąd;33,41;BLIK;Warszawa
03.05.2024;jedzenie;apteka;387,31;karta;Łódź
08.03.2024;rozrywka;kino;807,69;karta;Warszawa
08.12.2024;rozrywka;paliwo;18,46;BLIK;Łódź
25.10.2024;jedzenie;prąd;729,94;gotówka;Kraków
26.07.2024;transport;obiad;743,70;gotówka;Łódź
01.01.2024;inne;kawa;599,80;karta;Łódź
19.06.2024;zdrowie;zakupy;759,95;gotówka;Łódź
23.12.2024;zdrowie;apteka;641,19;BLIK;Kraków
11.02.2024;zdrowie;kino;670,60;BLIK;Warszawa
11.12.2024;rozrywka;zakupy;439,95;karta;Łódź
12.11.2024;jedzenie;kino;313,92;gotówka;Kraków
26.12.2024;jedzenie;apteka;552,71;BLIK;Kraków
20.06.2024;transport;apteka;121,95;karta;Łódź
24.10.2024;inne;kawa;628,09;karta;Kraków
16.05.2024;zdrowie;kawa;275,79;gotówka;Gdańsk
09.07.2024;rozrywka;prąd;51,02;gotówka;Poznań
03.03.2024;rachunki;kawa;450,05;BLIK;Poznań
19.08.2024;zdrowie;kino;765,04;BLIK;Warszawa
22.08.2024;jedzenie;zakupy;164,16;gotówka;Kraków
09.02.2024;jedzenie;paliwo;248,67;gotówka;Warszawa
11.09.2024;transport;obiad;594,03;karta;Poznań
12.01.2024;rozrywka;prąd;809,53;BLIK;Poznań
30.08.2024;rozrywka;prąd;792,30;gotówka;Warszawa
02.02.2024;jedzenie;obiad;251,33;karta;Poznań
29.07.2024;zdrowie;kino;549,75;BLIK;Gdańsk
06.12.2024;ubrania;apteka;415,80;BLIK;Łódź
